SUMLEV,CBSA,NAME,LSAD,DATE,POPESTIMATE
310,10180,"Abilene, TX",Metropolitan Statistical Area,1,176579
310,10180,"Abilene, TX",Metropolitan Statistical Area,2,176809
310,10180,"Abilene, TX",Metropolitan Statistical Area,3,177314
310,10420,"Akron, OH",Metropolitan Statistical Area,1,702219
310,10420,"Akron, OH",Metropolitan Statistical Area,2,701305
310,10420,"Akron, OH",Metropolitan Statistical Area,3,700015
310,10500,"Albany, GA",Metropolitan Statistical Area,1,148922
310,10500,"Albany, GA",Metropolitan Statistical Area,2,148417
310,10500,"Albany, GA",Metropolitan Statistical Area,3,147773
310,10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,1,128610
310,10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,2,128936
310,10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,3,129839
310,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,1,899262
310,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,2,898561
310,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,3,899286
310,10740,"Albuquerque, NM",Metropolitan Statistical Area,1,916528
310,10740,"Albuquerque, NM",Metropolitan Statistical Area,2,917179
310,10740,"Albuquerque, NM",Metropolitan Statistical Area,3,918259
310,10780,"Alexandria, LA",Metropolitan Statistical Area,1,152192
310,10780,"Alexandria, LA",Metropolitan Statistical Area,2,151736
310,10780,"Alexandria, LA",Metropolitan Statistical Area,3,150890
310,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,1,861889
310,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,2,861705
310,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,3,865310
310,11020,"Altoona, PA",Metropolitan Statistical Area,1,122822
310,11020,"Altoona, PA",Metropolitan Statistical Area,2,122518
310,11020,"Altoona, PA",Metropolitan Statistical Area,3,121767
310,11100,"Amarillo, TX",Metropolitan Statistical Area,1,268691
310,11100,"Amarillo, TX",Metropolitan Statistical Area,2,268820
310,11100,"Amarillo, TX",Metropolitan Statistical Area,3,269703
310,11180,"Ames, IA",Metropolitan Statistical Area,1,125252
310,11180,"Ames, IA",Metropolitan Statistical Area,2,125306
310,11180,"Ames, IA",Metropolitan Statistical Area,3,126195
310,11260,"Anchorage, AK",Metropolitan Statistical Area,1,398328
310,11260,"Anchorage, AK",Metropolitan Statistical Area,2,398097
310,11260,"Anchorage, AK",Metropolitan Statistical Area,3,398807
310,11460,"Ann Arbor, MI",Metropolitan Statistical Area,1,372258
310,11460,"Ann Arbor, MI",Metropolitan Statistical Area,2,371656
310,11460,"Ann Arbor, MI",Metropolitan Statistical Area,3,369390
310,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,1,116441
310,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,2,116266
310,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,3,115972
310,11540,"Appleton, WI",Metropolitan Statistical Area,1,243147
310,11540,"Appleton, WI",Metropolitan Statistical Area,2,243308
310,11540,"Appleton, WI",Metropolitan Statistical Area,3,244084
310,11700,"Asheville, NC",Metropolitan Statistical Area,1,469015
310,11700,"Asheville, NC",Metropolitan Statistical Area,2,469454
310,11700,"Asheville, NC",Metropolitan Statistical Area,3,472341
310,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,1,215415
310,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,2,215638
310,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,3,217759
310,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,1,6089815
310,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,2,6101146
310,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,3,6144050
