DMA	Date	UTC	City	Region	RegionAbbr	Subregion	Longitude	Latitude	DMA_Search	EST	US_Search	Search
Anchorage AK	2023-02-03	2023-02-04 03:00:00	Anchorage	Alaska	AK	Municipality of Anchorage	-149.85814999999997	61.21753000000008	29	2023-02-03 22:00:00	0	0
Elmira NY	2023-02-03	2023-02-04 03:00:00	Elmira	New York	NY	Chemung County	-76.79892999999998	42.090640000000064	100	2023-02-03 22:00:00	0	0
Rockford IL	2023-02-03	2023-02-04 03:00:00	Rockford	Illinois	IL	Winnebago County	-89.07739999999995	42.26690000000008	26	2023-02-03 22:00:00	0	0
Twin Falls ID	2023-02-03	2023-02-04 03:00:00	Twin Falls	Idaho	ID	Twin Falls County	-114.46959999999996	42.55619000000007	77	2023-02-03 22:00:00	0	0
Charlottesville VA	2023-02-03	2023-02-04 03:00:00	Charlottesville	Virginia	VA	City of Charlottesville	-78.47755999999998	38.032130000000045	25	2023-02-03 22:00:00	0	0
Panama City FL	2023-02-03	2023-02-04 03:00:00	Panama City	Florida	FL	Bay County	-85.66033	30.15987000000007	22	2023-02-03 22:00:00	0	0
Sioux City IA	2023-02-03	2023-02-04 03:00:00	Sioux City	Iowa	IA	Woodbury County	-96.42085999999992	42.499900000000025	20	2023-02-03 22:00:00	0	0
Butte-Bozeman MT	2023-02-03	2023-02-04 03:00:00	Bozeman	Montana	MT	Gallatin County	-111.03221999999992	45.67934000000008	31	2023-02-03 22:00:00	0	0
Lafayette LA	2023-02-03	2023-02-04 03:00:00	Lafayette	Louisiana	LA	Lafayette Parish	-92.01704999999998	30.220320000000072	20	2023-02-03 22:00:00	0	0
Youngstown OH	2023-02-03	2023-02-04 03:00:00	Youngstown	Ohio	OH	Mahoning County	-80.65078999999997	41.098100000000045	16	2023-02-03 22:00:00	0	0
Bangor ME	2023-02-03	2023-02-04 03:00:00	Bangor	Maine	ME	Penobscot County	-68.77076999999997	44.80171000000007	14	2023-02-03 22:00:00	0	0
Boise ID	2023-02-03	2023-02-04 03:00:00	Boise	Idaho	ID	Ada County	-116.19339999999994	43.60764000000007	12	2023-02-03 22:00:00	0	0
Memphis TN	2023-02-03	2023-02-04 03:00:00	Memphis	Tennessee	TN	Shelby County	-90.04924999999997	35.14976000000007	10	2023-02-03 22:00:00	0	0
Columbia-Jefferson City MO	2023-02-03	2023-02-04 03:00:00	Jefferson	Arkansas	AR	Columbia	-93.36837999999992	33.35105000000004	10	2023-02-03 22:00:00	0	0
Reno NV	2023-02-03	2023-02-04 03:00:00	Reno	Nevada	NV	Washoe County	-119.81352999999996	39.527660000000026	10	2023-02-03 22:00:00	0	0
Lansing MI	2023-02-03	2023-02-04 03:00:00	Lansing	Michigan	MI	Ingham County	-84.55224999999997	42.73194000000007	9	2023-02-03 22:00:00	0	0
Mobile AL-Pensacola (Ft. Walton Beach) FL	2023-02-03	2023-02-04 03:00:00	Fort Walton Beach	Florida	FL	Okaloosa County	-86.61529999999999	30.40424000000008	15	2023-02-03 22:00:00	0	0
Medford-Klamath Falls OR	2023-02-03	2023-02-04 03:00:00	Klamath Falls	Oregon	OR	Klamath County	-121.78205999999994	42.22388000000007	14	2023-02-03 22:00:00	0	0
Wilkes Barre-Scranton PA	2023-02-03	2023-02-04 03:00:00	Pittston	Pennsylvania	PA	Luzerne County	-75.72943999999995	41.33717000000007	8	2023-02-03 22:00:00	0	0
Ft. Myers-Naples FL	2023-02-03	2023-02-04 03:00:00	Fort Myers	Florida	FL	Lee County	-81.87043099999994	26.52099800000008	8	2023-02-03 22:00:00	0	0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	2023-02-03	2023-02-04 03:00:00	Mt Vernon	Illinois	IL	Jefferson County	-88.90363999999995	38.31728000000004	10	2023-02-03 22:00:00	0	0
Charleston-Huntington WV	2023-02-03	2023-02-04 03:00:00	Huntington	West Virginia	WV	Cabell County	-82.41917368177556	38.41415102368572	8	2023-02-03 22:00:00	0	0
Louisville KY	2023-02-03	2023-02-04 03:00:00	Louisville	Kentucky	KY	Jefferson County	-85.76665999999993	38.254890000000046	6	2023-02-03 22:00:00	0	0
Pittsburgh PA	2023-02-03	2023-02-04 03:00:00	Pittsburgh	Pennsylvania	PA	Allegheny County	-79.99733999999995	40.43851000000007	5	2023-02-03 22:00:00	0	0
Columbus OH	2023-02-03	2023-02-04 03:00:00	Columbus	Ohio	OH	Franklin County	-83.00274999999993	39.96199000000007	5	2023-02-03 22:00:00	0	0
Tallahassee FL-Thomasville GA	2023-02-03	2023-02-04 03:00:00	Thomasville	Georgia	GA	Thomas County	-83.98791044156097	30.68477418710404	7	2023-02-03 22:00:00	0	0
Fresno-Visalia CA	2023-02-03	2023-02-04 03:00:00	Farmersville	California	CA	Tulare County	-119.21050998885028	36.29238015215397	5	2023-02-03 22:00:00	0	0
Lexington KY	2023-02-03	2023-02-04 03:00:00	Lexington	Kentucky	KY	Fayette County	-84.50032	38.04859000000005	5	2023-02-03 22:00:00	0	0
Green Bay-Appleton WI	2023-02-03	2023-02-04 03:00:00	Appleton	Wisconsin	WI	Outagamie County	-88.38496613956664	44.26672407622406	6	2023-02-03 22:00:00	0	0
Springfield MO	2023-02-03	2023-02-04 03:00:00	Springfield	Missouri	MO	Greene County	-93.29159	37.20897000000008	5	2023-02-03 22:00:00	0	0
Huntsville-Decatur (Florence) AL	2023-02-03	2023-02-04 03:00:00	Florence	Alabama	AL	Lauderdale County	-87.60946000814877	34.835329994016945	5	2023-02-03 22:00:00	0	0
Oklahoma City OK	2023-02-03	2023-02-04 03:00:00	Oklahoma City	Oklahoma	OK	Oklahoma County	-97.52106999999997	35.472030000000075	4	2023-02-03 22:00:00	0	0
New Orleans LA	2023-02-03	2023-02-04 03:00:00	New Orleans	Louisiana	LA	Orleans Parish	-90.07774999999998	29.953700000000023	3	2023-02-03 22:00:00	0	0
Milwaukee WI	2023-02-03	2023-02-04 03:00:00	Milwaukee	Wisconsin	WI	Milwaukee County	-87.90689999999995	43.04223000000008	3	2023-02-03 22:00:00	0	0
Austin TX	2023-02-03	2023-02-04 03:00:00	Austin	Texas	TX	Travis County	-97.74298999999996	30.26759000000004	3	2023-02-03 22:00:00	0	0
Indianapolis IN	2023-02-03	2023-02-04 03:00:00	Indianapolis	Indiana	IN	Marion County	-86.15011999999997	39.766910000000045	3	2023-02-03 22:00:00	0	0
Las Vegas NV	2023-02-03	2023-02-04 03:00:00	Las Vegas	Nevada	NV	Clark County	-115.14000999999996	36.17193000000003	3	2023-02-03 22:00:00	0	0
Denver CO	2023-02-03	2023-02-04 03:00:00	Denver	Colorado	CO	City and County of Denver	-104.99201999999995	39.74001000000004	2	2023-02-03 22:00:00	0	0
St. Louis MO	2023-02-03	2023-02-04 03:00:00	St Louis	Missouri	MO	City of St. Louis	-90.19955999999996	38.62775000000005	2	2023-02-03 22:00:00	0	0
Charlotte NC	2023-02-03	2023-02-04 03:00:00	Charlotte	North Carolina	NC	Mecklenburg County	-80.83795999999995	35.222860000000026	1	2023-02-03 22:00:00	0	0
Harrisburg-Lancaster-Lebanon-York PA	2023-02-03	2023-02-04 03:00:00	Lancaster	Pennsylvania	PA	Lancaster County	-76.31562127523881	40.0488282379337	5	2023-02-03 22:00:00	0	0
Seattle-Tacoma WA	2023-02-03	2023-02-04 03:00:00	Lakewood	Washington	WA	Pierce County	-122.50740001094871	47.146779998273935	1	2023-02-03 22:00:00	0	0
Glendive MT	2023-02-04	2023-02-05 03:00:00	Glendive	Montana	MT	Dawson County	-104.71457999999996	47.106130000000064	100	2023-02-04 22:00:00	9	900
Alpena MI	2023-02-04	2023-02-05 03:00:00	Alpena	Michigan	MI	Alpena County	-83.44514999999996	45.06156000000004	31	2023-02-04 22:00:00	9	279
Presque Isle ME	2023-02-04	2023-02-05 03:00:00	Presque Isle	Maine	ME	Aroostook County	-68.01536999999996	46.68161000000004	29	2023-02-04 22:00:00	9	261
Tampa-St. Petersburg (Sarasota) FL	2023-02-03	2023-02-04 03:00:00	Venice	Florida	FL	Sarasota	-82.33603478982988	27.06972205172892	1	2023-02-03 22:00:00	0	0
