Date	Keyword	City	State	Value	Center	latitude	longitude
20230203	Derailment	Youngstown	OH	100	Youngstown	41.1035786	-80.6520161
20230203	Derailment	Butte-Bozeman	MT	86	Bozeman	45.6794293	-111.044047
20230203	Derailment	Cheyenne WY-Scottsbluff	NE	65	Scottsbluff	41.862302	-103.6627088
20230203	Derailment	Binghamton	NY	61	Binghamton	42.0987125	-75.9125262
20230203	Derailment	Minot-Bismarck-Dickinson(Williston)	ND	51	Dickinson	46.8791756	-102.7896242
20230203	Derailment	Hattiesburg-Laurel	MS	47	Laurel	31.6940509	-89.1306124
20230203	Derailment	Jackson	TN	44	Jackson	35.6144446	-88.8177418
20230203	Derailment	Alexandria	LA	42	Alexandria	33.768701	-85.88066868678666
20230203	Derailment	Wheeling WV-Steubenville	OH	39	Steubenville	40.3697905	-80.6339638
20230203	Derailment	Laredo	TX	36	Laredo	27.5236998	-99.497352
20230203	Derailment	Toledo	OH	35	Toledo	41.6529143	-83.5378173
20230203	Derailment	Pittsburgh	PA	33	Pittsburgh	40.4416941	-79.9900861
20230203	Derailment	Twin Falls	ID	30	Twin Falls	42.5704456	-114.4602554
20230203	Derailment	Grand Junction-Montrose	CO	28	Montrose	38.4375391	-108.2403855
20230203	Derailment	Sioux City	IA	27	Sioux City	42.4966815	-96.4058782
20230203	Derailment	Clarksburg-Weston	WV	27	Weston	39.0384274	-80.467313
20230203	Derailment	Evansville	IN	27	Evansville	37.9747645	-87.5558483
20230203	Derailment	Amarillo	TX	27	Amarillo	35.2072185	-101.833824
20230203	Derailment	La Crosse-Eau Claire	WI	26	Eau Claire	44.811349	-91.4984941
20230203	Derailment	Charleston-Huntington	WV	25	Huntington	38.4192496	-82.445154
20230203	Derailment	Jackson	MS	21	Jackson	32.3086744	-90.1983063
20230203	Derailment	Cleveland-Akron (Canton)	OH	21	Akron	41.083064	-81.518485
20230203	Derailment	Corpus Christi	TX	20	Corpus Christi	27.7635302	-97.4033191
20230203	Derailment	Harrisonburg	VA	20	Harrisonburg	38.4493315	-78.8688833
20230203	Derailment	Rockford	IL	18	Rockford	42.2713945	-89.093966
20230203	Derailment	Johnstown-Altoona	PA	18	Altoona	40.518681	-78.394736
20230203	Derailment	Terre Haute	IN	18	Terre Haute	39.4667025	-87.4139119
20230203	Derailment	Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon	IL	17	Mount Vernon	38.3172715	-88.9031201
20230203	Derailment	Davenport IA-Rock Island-Moline	IL	16	Moline	41.5058344	-90.5136642
20230203	Derailment	Wilmington	NC	15	Wilmington	34.2257282	-77.9447107
20230203	Derailment	Columbus	OH	15	Columbus	39.9622601	-83.0007065
20230203	Derailment	Columbus-Tupelo-West Point	MS	14	West Point	33.6076186	-88.6503255
20230203	Derailment	Medford-Klamath Falls	OR	14	Klamath Falls	42.224867	-121.7816704
20230203	Derailment	Traverse City-Cadillac	MI	13	Cadillac	44.3353211	-85.5741088
20230203	Derailment	Anchorage	AK	13	Anchorage	61.2163129	-149.894852
20230203	Derailment	Knoxville	TN	11	Knoxville	35.9603948	-83.9210261
20230203	Derailment	Springfield	MO	11	Springfield		
20230203	Derailment	Burlington VT-Plattsburgh	NY	11	Plattsburgh	44.69282	-73.45562
20230203	Derailment	Buffalo	NY	10	Buffalo	42.8867166	-78.8783922
20230203	Derailment	Richmond-Petersburg	VA	10	Petersburg	37.227928	-77.4019268
20230203	Derailment	Harrisburg-Lancaster-Lebanon-York	PA	8	York	39.9067499	-76.7008946
20230203	Derailment	Ft. Smith-Fayetteville-Springdale-Rogers	AR	8	Rogers	36.3320197	-94.1185366
20230203	Derailment	Syracuse	NY	7	Syracuse	43.0481221	-76.1474244
20230203	Derailment	Roanoke-Lynchburg	VA	7	Lynchburg	37.4137536	-79.1422464
20230203	Derailment	Boise	ID	7	Boise	43.6166163	-116.200886
20230203	Derailment	Flint-Saginaw-Bay City	MI	7	Bay City	43.5944677	-83.8888648
20230203	Derailment	Hartford & New Haven	CT	7	New Haven	41.3082138	-72.9250518
20230203	Derailment	Harlingen-Weslaco-Brownsville-McAllen	TX	7	McAllen	26.204114	-98.2300605
20230203	Derailment	Greensboro-High Point-Winston Salem	NC	7	Winston Salem	36.0998131	-80.2440518
20230203	Derailment	Tucson (Sierra Vista)	AZ	6	Tucson	32.2228765	-110.9748477
20230203	Derailment	Cincinnati	OH	5	Cincinnati	39.1014537	-84.5124602
20230203	Derailment	Madison	WI	4	Madison	43.074761	-89.3837613
20230203	Derailment	Albuquerque-Santa Fe	NM	4	Santa Fe	35.6876096	-105.938456
20230203	Derailment	Ft. Myers-Naples	FL	4	Naples	26.1421976	-81.7942944
20230203	Derailment	St. Louis	MO	4	St. Louis	38.6280278	-90.1910154
20230203	Derailment	Charlotte	NC	3	Charlotte	35.2272086	-80.8430827
20230203	Derailment	Las Vegas	NV	3	Las Vegas	36.1672559	-115.148516
20230203	Derailment	Indianapolis	IN	3	Indianapolis	39.7683331	-86.1583502
20230203	Derailment	Jacksonville	FL	3	Jacksonville	30.3321838	-81.655651
20230203	Derailment	West Palm Beach-Ft. Pierce	FL	3	Ft. Pierce	27.4467056	-80.3256056
20230203	Derailment	Austin	TX	3	Austin	30.2711286	-97.7436995
20230203	Derailment	Philadelphia	PA	2	Philadelphia	39.9527237	-75.1635262
20230203	Derailment	Chicago	IL	2	Chicago	41.8755616	-87.6244212
20230203	Derailment	Washington DC (Hagerstown	MD)	2	Washington DC	39.0108743	-77.17737392001567
20230203	Derailment	Detroit	MI	2	Detroit	42.3315509	-83.0466403
20230203	Derailment	Seattle-Tacoma	WA	2	Tacoma	47.2495798	-122.439874
20230203	Derailment	Minneapolis-St. Paul	MN	2	St. Paul	44.9497487	-93.0931028
20230203	Derailment	Nashville	TN	2	Nashville	36.1622767	-86.7742984
20230203	Derailment	New York	NY	2	New York	40.7127281	-74.0060152
20230203	Derailment	Portland	OR	1	Portland	45.5202471	-122.674194
20230203	Derailment	Denver	CO	1	Denver	39.7392364	-104.984862
20230203	Derailment	Boston MA-Manchester	NH	1	Manchester	42.9956397	-71.4547891
20230203	Derailment	Phoenix	AZ	1	Phoenix	33.4484367	-112.074141
20230203	Derailment	Dallas-Ft. Worth	TX	1	Ft. Worth	32.753177	-97.3327459
20230203	Derailment	Orlando-Daytona Beach-Melbourne	FL	1	Melbourne	28.106471	-80.6371513
20230204	Derailment	North Platte	NE	100	North Platte	41.1238873	-100.7654232
20230204	Derailment	Presque Isle	ME	28	Presque Isle	46.6832082	-68.0141431
20230204	Derailment	Youngstown	OH	20	Youngstown	41.1035786	-80.6520161
20230204	Derailment	Parkersburg	WV	12	Parkersburg	39.2699565	-81.5506916
20230204	Derailment	Missoula	MT	9	Missoula	46.8701049	-113.995267
