DMA	UTC	City	Region	RegionAbbr	Subregion	Longitude	Latitude	DMA_Search	EST	US_Search	Search
Meridian MS	2023-02-04 03	Meridian	Mississippi	MS	Lauderdale County	-88.70307999999994	32.365080000000034	36	2023-02-03 22:00:00	9	324
Alexandria LA	2023-02-04 03	Alexandria	Louisiana	LA	Rapides Parish	-92.44567999999998	31.312660000000047	96	2023-02-03 22:00:00	9	864
Presque Isle ME	2023-02-04 03	Presque Isle	Maine	ME	Aroostook County	-68.01536999999996	46.68161000000004	100	2023-02-03 22:00:00	9	900
Erie PA	2023-02-04 03	Erie	Pennsylvania	PA	Erie County	-80.08549999999997	42.129820000000045	25	2023-02-03 22:00:00	9	225
Rockford IL	2023-02-04 03	Rockford	Illinois	IL	Winnebago County	-89.07739999999995	42.26690000000008	18	2023-02-03 22:00:00	9	162
Binghamton NY	2023-02-04 03	Binghamton	New York	NY	Broome County	-75.91128999999995	42.09871000000004	19	2023-02-03 22:00:00	9	171
Fairbanks AK	2023-02-04 03	Fairbanks	Alaska	AK	Fairbanks North Star Borough	-147.72209999999998	64.84525000000008	14	2023-02-03 22:00:00	9	126
Missoula MT	2023-02-04 03	Missoula	Montana	MT	Missoula County	-113.99624999999996	46.872780000000034	11	2023-02-03 22:00:00	9	99
Rochester NY	2023-02-04 03	Rochester	New York	NY	Monroe County	-77.61631999999997	43.155800000000056	9	2023-02-03 22:00:00	9	81
Florence-Myrtle Beach SC	2023-02-04 03	Myrtle Beach	South Carolina	SC	Horry County	-78.99494599999997	33.67792000000003	12	2023-02-03 22:00:00	9	108
Columbus-Tupelo-West Point MS	2023-02-04 03	West Point	Mississippi	MS	Clay County	-88.65043999999993	33.60651000000007	25	2023-02-03 22:00:00	9	225
Chattanooga TN	2023-02-04 03	Chattanooga	Tennessee	TN	Hamilton County	-85.30946999999996	35.04672000000005	8	2023-02-03 22:00:00	9	72
Clarksburg-Weston WV	2023-02-04 03	Clarksburg	West Virginia	WV	Harrison County	-80.34016999999993	39.27944000000008	17	2023-02-03 22:00:00	9	153
Laredo TX	2023-02-04 03	Laredo	Texas	TX	Webb County	-99.50230999999997	27.53092000000004	7	2023-02-03 22:00:00	9	63
Traverse City-Cadillac MI	2023-02-04 03	Traverse City	Michigan	MI	Grand Traverse County	-85.59611399999993	44.743381000000056	9	2023-02-03 22:00:00	9	81
Butte-Bozeman MT	2023-02-04 03	Bozeman	Montana	MT	Gallatin County	-111.03221999999992	45.67934000000008	9	2023-02-03 22:00:00	9	81
Ft. Wayne IN	2023-02-04 03	Fort Wayne	Indiana	IN	Allen County	-85.13830999999999	41.08026000000008	7	2023-02-03 22:00:00	9	63
Sherman TX-Ada OK	2023-02-04 03	Sherman	Texas	TX	Grayson County	-96.60912999999992	33.63604000000004	7	2023-02-03 22:00:00	9	63
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	2023-02-04 03	Mt Vernon	Illinois	IL	Jefferson County	-88.90363999999995	38.31728000000004	8	2023-02-03 22:00:00	9	72
Huntsville-Decatur (Florence) AL	2023-02-04 03	Florence	Alabama	AL	Lauderdale County	-87.60946000814877	34.835329994016945	5	2023-02-03 22:00:00	9	45
Topeka KS	2023-02-04 03	Topeka	Kansas	KS	Shawnee County	-95.67117999999992	39.04928000000008	5	2023-02-03 22:00:00	9	45
Burlington VT-Plattsburgh NY	2023-02-04 03	Burlington	Vermont	VT	Chittenden County	-73.25744093254113	44.51981909934685	6	2023-02-03 22:00:00	9	54
Shreveport LA	2023-02-04 03	Shreveport	Louisiana	LA	Caddo Parish	-93.74688999999996	32.51487000000003	5	2023-02-03 22:00:00	9	45
Syracuse NY	2023-02-04 03	Syracuse	New York	NY	Onondaga County	-76.14737999999994	43.05042000000003	5	2023-02-03 22:00:00	9	45
Knoxville TN	2023-02-04 03	Knoxville	Tennessee	TN	Knox County	-83.92102999999997	35.960680000000025	5	2023-02-03 22:00:00	9	45
Grand Rapids-Kalamazoo-Battle Creek MI	2023-02-04 03	Battle Creek	Michigan	MI	Calhoun County	-85.18682211214454	42.32892060475615	5	2023-02-03 22:00:00	9	45
Boise ID	2023-02-04 03	Boise	Idaho	ID	Ada County	-116.19339999999994	43.60764000000007	4	2023-02-03 22:00:00	9	36
Greenville-New Bern-Washington NC	2023-02-04 03	Greenville	Mississippi	MS	Washington	-91.03777999999994	33.398960000000045	5	2023-02-03 22:00:00	9	45
Memphis TN	2023-02-04 03	Memphis	Tennessee	TN	Shelby County	-90.04924999999997	35.14976000000007	3	2023-02-03 22:00:00	9	27
Chico-Redding CA	2023-02-04 03	Redding	California	CA	Shasta County	-122.39248999999997	40.58762000000007	3	2023-02-03 22:00:00	9	27
