Category: All categories

DMA,nuclear leak: (11/1/22 - 3/30/23)
La Crosse-Eau Claire WI,100
Minneapolis-St. Paul MN,88
Duluth MN-Superior WI,76
Madison WI,54
Columbus OH,37
Des Moines-Ames IA,28
Indianapolis IN,23
Cincinnati OH,22
Sacramento-Stockton-Modesto CA,19
Washington DC (Hagerstown MD),18
St. Louis MO,18
Baltimore MD,17
Nashville TN,17
Chicago IL,17
Cleveland-Akron (Canton) OH,16
Charlotte NC,16
Milwaukee WI,16
Philadelphia PA,16
Seattle-Tacoma WA,15
Boston MA-Manchester NH,14
Atlanta GA,13
Detroit MI,13
Los Angeles CA,13
Houston TX,12
New York NY,11
San Francisco-Oakland-San Jose CA,10
Portland OR,10
Salt Lake City UT,10
Tampa-St. Petersburg (Sarasota) FL,10
Pittsburgh PA,10
Dallas-Ft. Worth TX,9
Raleigh-Durham (Fayetteville) NC,9
Miami-Ft. Lauderdale FL,7
Phoenix AZ,7
Orlando-Daytona Beach-Melbourne FL,5
Jonesboro AR,
Terre Haute IN,
Casper-Riverton WY,
Lafayette IN,
Greenwood-Greenville MS,
Yakima-Pasco-Richland-Kennewick WA,
Idaho Falls-Pocatello ID,
Quincy IL-Hannibal MO-Keokuk IA,
Gainesville FL,
Dayton OH,
Sioux Falls(Mitchell) SD,
Youngstown OH,
Columbia-Jefferson City MO,
Corpus Christi TX,
Savannah GA,
Davenport IA-Rock Island-Moline IL,
Wilkes Barre-Scranton PA,
Florence-Myrtle Beach SC,
Medford-Klamath Falls OR,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Anchorage AK,
Springfield MO,
Lexington KY,
Palm Springs CA,
Springfield-Holyoke MA,
Columbus GA,
Salisbury MD,
Traverse City-Cadillac MI,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Eugene OR,
Monterey-Salinas CA,
Shreveport LA,
Providence RI-New Bedford MA,
El Paso TX,
Burlington VT-Plattsburgh NY,
Oklahoma City OK,
Little Rock-Pine Bluff AR,
West Palm Beach-Ft. Pierce FL,
Syracuse NY,
Toledo OH,
Huntsville-Decatur (Florence) AL,
Jacksonville FL,
Rochester NY,
Las Vegas NV,
Knoxville TN,
Austin TX,
Richmond-Petersburg VA,
Norfolk-Portsmouth-Newport News VA,
Louisville KY,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Portland-Auburn ME,
Binghamton NY,
Macon GA,
Ft. Wayne IN,
Flint-Saginaw-Bay City MI,
Buffalo NY,
Erie PA,
Greensboro-High Point-Winston Salem NC,
Charleston SC,
Augusta GA,
Albany GA,
Utica NY,
Tallahassee FL-Thomasville GA,
Tri-Cities TN-VA,
Albany-Schenectady-Troy NY,
Hartford & New Haven CT,
Bangor ME,
Greenville-New Bern-Washington NC,
Columbia SC,
Watertown NY,
Wilmington NC,
Lansing MI,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Harrisburg-Lancaster-Lebanon-York PA,
Harrisonburg VA,
Ft. Myers-Naples FL,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Joplin MO-Pittsburg KS,
Topeka KS,
Dothan AL,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Kansas City MO,
New Orleans LA,
Sioux City IA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Monroe LA-El Dorado AR,
Birmingham AL,
Ottumwa IA-Kirksville MO,
Odessa-Midland TX,
Amarillo TX,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Jackson TN,
Memphis TN,
San Antonio TX,
Lafayette LA,
Lake Charles LA,
Alexandria LA,
Champaign & Springfield-Decatur IL,
Evansville IN,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
San Angelo TX,
Abilene-Sweetwater TX,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Wichita-Hutchinson KS,
Minot-Bismarck-Dickinson(Williston) ND,
Beaumont-Port Arthur TX,
Montgomery (Selma) AL,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Bowling Green KY,
Mankato MN,
North Platte NE,
Honolulu HI,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Denver CO,
Colorado Springs-Pueblo CO,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
Helena MT,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Albuquerque-Santa Fe NM,
Glendive MT,
Bakersfield CA,
Eureka CA,
Reno NV,
Bend OR,
San Diego CA,
Santa Barbara-Santa Maria-San Luis Obispo CA,
Fresno-Visalia CA,
Chico-Redding CA,
Spokane WA,
