Id	CreateTime	Title	Comment	Play	Share	Dig	Duration	AuthorId	AuthorFollower	AuthorHeart	AuthorVideoCount	Day	Keyword
7196323099716144430	2023-02-04 15:29:25	This derailment is a disaster. They will want to say 1 man crews could prevent this. They swore Lac-Mégantic could never happen again. This is a lie. We need more crews, not less. #railroad #disaster #derailed #ohiotraincrash 	31	29100	109	927	89	6970260456423212038	450	5967	24	20230204	Derail
7196472265066777898	2023-02-05 01:08:02	This train derailed in Ohio #foryou #train #ohio   	2376	206700	134	16100	21	54019225677217792	6900000	459900000	406	20230205	Derail
7196472265066777898	2023-02-05 01:08:02	This train derailed in Ohio #foryou #train #ohio   	2376	206700	134	16100	21	54019225677217792	6900000	459900000	406	20230205	Derail
7196516486507351342	2023-02-05 03:59:38	Train derailment in East Palestine, OH 2/3/23. Evacuated last night, but safe at home tonight #GetCrackin #fyp #fypシ゚viral  #trainderailed #trainderailment #eastpalestine #onlyinohio #train #trainderailed	107	74600	330	2742	60	6846451918425424902	521	9831	33	20230205	Derail
7196516486507351342	2023-02-05 03:59:38	Train derailment in East Palestine, OH 2/3/23. Evacuated last night, but safe at home tonight #GetCrackin #fyp #fypシ゚viral  #trainderailed #trainderailment #eastpalestine #onlyinohio #train #trainderailed	107	74600	330	2742	60	6846451918425424902	521	9831	33	20230205	Derail
7196673926842354990	2023-02-05 14:10:44	#trainmaster #railroad #train #fyp #GetCrackin #fypシ #fypage #fypシ゚viral #derailment #shortline 	1268	129000	728	4777	35	6760750881585447941	1573	8460	50	20230205	Derail
7197106720722652462	2023-02-06 18:10:02	Officials say the potential explosion could unleash toxic gas and blast deadly shrapnel for up to a mile. #ohio #ohiotrain #derail #train #eastpalestine #emergency #evacuation  	128	100400	503	2262	47	7108767708096578606	538300	11100000	422	20230206	Derail
7197136842771189038	2023-02-06 20:06:55	A 150-car freight train derailed in Ohio. Now, authorities are concerned about toxic fumes being released and a potential explosion ... 	211	190800	1225	6283	47	6781531515165033477	2100000	83700000	2271	20230206	Derail
7197166765598641450	2023-02-06 22:02:58	Controlled explosion of derailed train. #eastpalestine #eastpalestineohio 	623	266400	615	9581	27	6606733169637588997	7455	1900000	7	20230206	Derail
7197262038920351022	2023-02-07 04:12:38	Feb. 3rd a Train derailed in East Palestine, Ohio  Im losing everything 😔 #fyp #train #derailed #eastpalestine #trainaccident #greenscreen 	146	85300	95	1626	32	6590521154318352389	1734	78300	45	20230207	Derail
7197262038920351022	2023-02-07 04:12:38	Feb. 3rd a Train derailed in East Palestine, Ohio  Im losing everything 😔 #fyp #train #derailed #eastpalestine #trainaccident #greenscreen 	146	85300	95	1626	32	6590521154318352389	1734	78300	45	20230207	Derail
7197671708776500526	2023-02-08 06:42:29	Did the EPA lie about water contamination in #eastpalestineohio ? Can the citizens trust the results we're being told? #trainderail #eastpalestine #ohio #chemicalspill #deadfish #epa #environmentalprotectionagency 	426	180300	330	3647	70	6986836142843298821	20700	431800	159	20230208	Derail
7197671708776500526	2023-02-08 06:42:29	Did the EPA lie about water contamination in #eastpalestineohio ? Can the citizens trust the results we're being told? #trainderail #eastpalestine #ohio #chemicalspill #deadfish #epa #environmentalprotectionagency 	426	180300	330	3647	70	6986836142843298821	20700	431800	159	20230208	Derail
7197671708776500526	2023-02-08 06:42:29	Did the EPA lie about water contamination in #eastpalestineohio ? Can the citizens trust the results we're being told? #trainderail #eastpalestine #ohio #chemicalspill #deadfish #epa #environmentalprotectionagency 	426	180300	330	3647	70	6986836142843298821	20700	431800	159	20230208	Derail
7197810697965948206	2023-02-08 15:41:51	Officials conducted a 'controlled release' of vinyl chloride from 5 train cars after a derailment in Ohio, preventing an explosion...but residents still don't know when it will be safe for them to return to their homes	472	278100	2410	14300	82	6650201683875299333	5900000	210400000	2127	20230208	Derail
7197864377222008069	2023-02-08 19:10:00	#railcars #decals #suzuandlou #sixmonths #done #worklife #hustle #rewind #fyp 	58	415800	97	6061	60	6797415249277568006	5752	30500	257	20230208	Derail
7197945679539391790	2023-02-09 00:25:31	A first aerial look today at the East Palatine Ohio Train Derailment Chemical Containment and Remediation. #fyp #viral #eastpalestine  #derailment #news #breaking #chemical #ohio 	1534	951600	960	27200	11	6811126643027395590	1292	170900	352	20230209	Derail
7197945679539391790	2023-02-09 00:25:31	A first aerial look today at the East Palatine Ohio Train Derailment Chemical Containment and Remediation. #fyp #viral #eastpalestine  #derailment #news #breaking #chemical #ohio 	1534	951600	960	27200	11	6811126643027395590	1292	170900	352	20230209	Derail
7198001682712923438	2023-02-09 04:02:55	we need answers...... train derailment in East Palestine Ohio.... #ThisWasntRight #northfolksouthernWeNeedAnwsers 	161	138200	377	4247	61	6862116360353235973	7423	9870	749	20230209	Derail
